"","feature","statistic","pvalue","outliers","nonoutliers"
"83","objCell_AreaShape_Orientation_diffs_mean",NA,NA,0,303
"84","objCell_AreaShape_Perimeter_diffs_mean",NA,NA,0,303
"85","objCell_AreaShape_Solidity_diffs_mean",NA,NA,0,303
"86","objNuc_Intensity_MeanIntensity_imNucCorrBg_min",NA,NA,0,303
"87","objCell_AreaShape_Area_min",NA,NA,0,303
"88","objCell_AreaShape_Compactness_min",NA,NA,0,303
"89","objCell_AreaShape_Eccentricity_min",NA,NA,0,303
"90","objCell_AreaShape_Extent_min",NA,NA,0,303
"91","objCell_AreaShape_FormFactor_min",NA,NA,0,303
"92","objCell_AreaShape_MajorAxisLength_min",NA,NA,0,303
"93","objCell_AreaShape_MaxFeretDiameter_min",NA,NA,0,303
"94","objCell_AreaShape_MaximumRadius_min",NA,NA,0,303
"95","objCell_AreaShape_MeanRadius_min",NA,NA,0,303
"96","objCell_AreaShape_MedianRadius_min",NA,NA,0,303
"97","objCell_AreaShape_MinFeretDiameter_min",NA,NA,0,303
"98","objCell_AreaShape_MinorAxisLength_min",NA,NA,0,303
"99","objCell_AreaShape_Orientation_min",NA,NA,0,303
"100","objCell_AreaShape_Perimeter_min",NA,NA,0,303
"101","objCell_AreaShape_Solidity_min",NA,NA,0,303
"102","objCell_Intensity_MeanIntensity_imErkCorrOrig_min",NA,NA,0,303
"103","objCell_AreaShape_Extent_diffs_min",NA,NA,0,303
"104","objCell_AreaShape_MinFeretDiameter_diffs_min",NA,NA,0,303
"105","objCell_AreaShape_Orientation_diffs_min",NA,NA,0,303
"106","objNuc_Intensity_MeanIntensity_imNucCorrBg_max",NA,NA,0,303
"107","objCell_AreaShape_Area_max",NA,NA,0,303
"108","objCell_AreaShape_Compactness_max",NA,NA,0,303
"109","objCell_AreaShape_Eccentricity_max",NA,NA,0,303
"110","objCell_AreaShape_Extent_max",NA,NA,0,303
"111","objCell_AreaShape_FormFactor_max",NA,NA,0,303
"112","objCell_AreaShape_MajorAxisLength_max",NA,NA,0,303
"113","objCell_AreaShape_MaxFeretDiameter_max",NA,NA,0,303
"114","objCell_AreaShape_MaximumRadius_max",NA,NA,0,303
"115","objCell_AreaShape_MeanRadius_max",NA,NA,0,303
"116","objCell_AreaShape_MedianRadius_max",NA,NA,0,303
"117","objCell_AreaShape_MinFeretDiameter_max",NA,NA,0,303
"118","objCell_AreaShape_MinorAxisLength_max",NA,NA,0,303
"119","objCell_AreaShape_Orientation_max",NA,NA,0,303
"120","objCell_AreaShape_Perimeter_max",NA,NA,0,303
"121","objCell_Intensity_MeanIntensity_imErkCorrOrig_max",NA,NA,0,303
"122","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_max",NA,NA,0,303
"123","objCell_AreaShape_Area_diffs_max",NA,NA,0,303
"124","objCell_AreaShape_Compactness_diffs_max",NA,NA,0,303
"125","objCell_AreaShape_Eccentricity_diffs_max",NA,NA,0,303
"126","objCell_AreaShape_Extent_diffs_max",NA,NA,0,303
"127","objCell_AreaShape_FormFactor_diffs_max",NA,NA,0,303
"128","objCell_AreaShape_MajorAxisLength_diffs_max",NA,NA,0,303
"129","objCell_AreaShape_MaxFeretDiameter_diffs_max",NA,NA,0,303
"130","objCell_AreaShape_MeanRadius_diffs_max",NA,NA,0,303
"131","objCell_AreaShape_MedianRadius_diffs_max",NA,NA,0,303
"132","objCell_AreaShape_MinFeretDiameter_diffs_max",NA,NA,0,303
"133","objCell_AreaShape_MinorAxisLength_diffs_max",NA,NA,0,303
"134","objCell_AreaShape_Orientation_diffs_max",NA,NA,0,303
"135","objCell_AreaShape_Perimeter_diffs_max",NA,NA,0,303
"136","objCell_AreaShape_Solidity_diffs_max",NA,NA,0,303
