@relation tCoursesSelected

@attribute metadata.site numeric
@attribute metadata.well numeric
@attribute Stimulation_duration {100ms}
@attribute Stimulation_intensity {'100\% light','50\% light','10\% light','2\% light'}
@attribute Stimulation_treatment {'UO126 50uM'}
@attribute RealTime numeric
@attribute trackObjectsLabel numeric
@attribute pos.x numeric
@attribute pos.y numeric
@attribute flNuc.nuc.raw numeric
@attribute flNuc.nuc.corr numeric
@attribute flErk.nuc.raw numeric
@attribute flErk.nuc.corr numeric
@attribute flErk.cyt.raw numeric
@attribute flErk.cyt.corr numeric

@data
0,1,100ms,'100\% light','UO126 50uM',0,1,694.633929,41.065476,0.090565,0.027803,0.164164,0.140583,0.066688,0.043098
0,1,100ms,'100\% light','UO126 50uM',1,1,691.263158,41.292398,0.089436,0.026811,0.162179,0.138393,0.066402,0.042613
0,1,100ms,'100\% light','UO126 50uM',2,1,691.953623,41.747826,0.08863,0.026669,0.160171,0.136221,0.06627,0.042328
0,1,100ms,'100\% light','UO126 50uM',3,1,692.171598,42.044379,0.088447,0.027035,0.161486,0.137777,0.066551,0.042843
0,1,100ms,'100\% light','UO126 50uM',4,1,692.298246,42.154971,0.088175,0.02713,0.161979,0.138664,0.065262,0.041951
0,1,100ms,'100\% light','UO126 50uM',5,1,692.979167,42.008929,0.088275,0.027346,0.162882,0.139468,0.066046,0.042624
0,1,100ms,'100\% light','UO126 50uM',6,1,693.162722,41.943787,0.087918,0.027125,0.162834,0.139131,0.066178,0.042473
0,1,100ms,'100\% light','UO126 50uM',7,1,693.287879,41.787879,0.088076,0.027262,0.16452,0.140508,0.067112,0.043105
0,1,100ms,'100\% light','UO126 50uM',8,1,693.272171,41.53211,0.088268,0.027624,0.165018,0.141706,0.066373,0.04305
0,1,100ms,'100\% light','UO126 50uM',9,1,693.287425,41.317365,0.087769,0.027286,0.163871,0.13988,0.066681,0.042687
0,1,100ms,'100\% light','UO126 50uM',10,1,693.23913,41.363354,0.088755,0.02729,0.175087,0.151091,0.069224,0.045219
0,1,100ms,'100\% light','UO126 50uM',11,1,692.828829,41.618619,0.088124,0.027813,0.171327,0.147339,0.067267,0.043284
0,1,100ms,'100\% light','UO126 50uM',12,1,692.504587,41.93578,0.088499,0.028434,0.173747,0.150129,0.067633,0.044016
0,1,100ms,'100\% light','UO126 50uM',13,1,692.378378,42.009009,0.088115,0.027369,0.17312,0.14884,0.067568,0.043296
0,1,100ms,'100\% light','UO126 50uM',14,1,691.920973,42.158055,0.088228,0.027265,0.175035,0.151045,0.067846,0.043862
0,1,100ms,'100\% light','UO126 50uM',15,1,691.827692,42.486154,0.08903,0.027639,0.185806,0.161735,0.069138,0.045068
0,1,100ms,'100\% light','UO126 50uM',16,1,691.507599,42.300912,0.0887,0.027678,0.182929,0.158931,0.06867,0.044662
0,1,100ms,'100\% light','UO126 50uM',17,1,692.372727,42.284848,0.088621,0.027562,0.182388,0.158213,0.06855,0.044366
0,1,100ms,'100\% light','UO126 50uM',18,1,692.191617,42.407186,0.088616,0.027388,0.180904,0.157329,0.067718,0.044126
0,1,100ms,'100\% light','UO126 50uM',19,1,691.755352,42.174312,0.088997,0.027318,0.18308,0.159199,0.068722,0.04483
0,1,100ms,'100\% light','UO126 50uM',20,1,691.387692,41.987692,0.089529,0.027851,0.191632,0.167226,0.069699,0.045291
0,1,100ms,'100\% light','UO126 50uM',21,1,690.519878,42.425076,0.089331,0.02779,0.188919,0.164793,0.069374,0.045248
0,1,100ms,'100\% light','UO126 50uM',22,1,690.961194,42.391045,0.088852,0.02792,0.185582,0.16145,0.068968,0.044829
0,1,100ms,'100\% light','UO126 50uM',23,1,690.610942,42.799392,0.089046,0.027287,0.187416,0.163125,0.06972,0.045422
0,1,100ms,'100\% light','UO126 50uM',24,1,690.329305,42.549849,0.088876,0.027638,0.186108,0.161729,0.069402,0.045026
0,1,100ms,'100\% light','UO126 50uM',25,1,690.151786,42.431548,0.089047,0.026635,0.190617,0.166093,0.070269,0.045747
0,1,100ms,'100\% light','UO126 50uM',26,1,690.446108,42.299401,0.089184,0.026878,0.188895,0.164696,0.069604,0.045412
0,1,100ms,'100\% light','UO126 50uM',27,1,690.449848,42.832827,0.089198,0.027578,0.18923,0.164851,0.070362,0.045985
0,1,100ms,'100\% light','UO126 50uM',28,1,690.502994,42.146707,0.089149,0.027357,0.187706,0.163205,0.069997,0.045493
0,1,100ms,'100\% light','UO126 50uM',29,1,689.80597,42.370149,0.089094,0.026898,0.186901,0.16275,0.068947,0.044798
0,1,100ms,'100\% light','UO126 50uM',30,1,689.180428,42.675841,0.08999,0.027348,0.196027,0.172584,0.069566,0.046116
0,1,100ms,'100\% light','UO126 50uM',31,1,688.373089,42.480122,0.089506,0.027727,0.193065,0.169098,0.069895,0.045928
0,1,100ms,'100\% light','UO126 50uM',32,1,688.105105,42.648649,0.089073,0.026842,0.189871,0.165887,0.069665,0.045683
0,1,100ms,'100\% light','UO126 50uM',33,1,688.360119,42.568452,0.088719,0.02614,0.18808,0.164166,0.06972,0.045815
0,1,100ms,'100\% light','UO126 50uM',34,1,688.392749,42.574018,0.08911,0.027285,0.189395,0.165672,0.06918,0.045457
0,1,100ms,'100\% light','UO126 50uM',35,1,688.234756,42.868902,0.0893,0.026886,0.196398,0.172604,0.070376,0.046583
0,1,100ms,'100\% light','UO126 50uM',36,1,687.547904,42.961078,0.089156,0.027136,0.191931,0.167943,0.069812,0.045832
0,1,100ms,'100\% light','UO126 50uM',37,1,687.853731,43.038806,0.08909,0.026994,0.189043,0.164992,0.06931,0.045256
0,1,100ms,'100\% light','UO126 50uM',38,1,687.639394,42.745455,0.089457,0.026706,0.18939,0.166112,0.068968,0.045683
0,1,100ms,'100\% light','UO126 50uM',39,1,688.301829,42.554878,0.089412,0.026543,0.18864,0.164416,0.07028,0.046052
0,1,100ms,'100\% light','UO126 50uM',40,1,689.733129,41.797546,0.090018,0.027025,0.195263,0.171109,0.071582,0.047421
0,1,100ms,'100\% light','UO126 50uM',41,1,688.70997,42.114804,0.089811,0.02748,0.191966,0.167656,0.070887,0.046572
0,1,100ms,'100\% light','UO126 50uM',42,1,688.822289,42.310241,0.089537,0.027281,0.189332,0.165104,0.07107,0.046837
0,1,100ms,'100\% light','UO126 50uM',43,1,688.251515,42.575758,0.089435,0.027376,0.189394,0.165606,0.070099,0.046304
0,1,100ms,'100\% light','UO126 50uM',44,1,688.411585,42.426829,0.089533,0.027448,0.189137,0.164836,0.070733,0.046439
0,1,100ms,'100\% light','UO126 50uM',45,1,687.903323,42.63142,0.089958,0.027172,0.194428,0.170848,0.069702,0.046112
0,1,100ms,'100\% light','UO126 50uM',46,1,686.990826,43.351682,0.090128,0.027531,0.192874,0.168614,0.070492,0.046245
